	734.6	OPEN LONG	none	muted
2026-05-24T08:29:26.547Z	743.10	WAITING FOR BAND	A-B-A-B-A-B · step 1/6 · counter=0/3	muted
2026-05-24T08:29:26.549Z	743.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:29:46.553Z	744.1	POLL START	fetching 4 candles	muted
2026-05-24T08:29:47.123Z	744.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:29:47.124Z	744.3	LAST CLOSE	0.9760	info
2026-05-24T08:29:47.125Z	744.4	TICK SIZE	0.001000	info
2026-05-24T08:29:47.126Z	744.5	inOsc / dir	false / LONG	muted
2026-05-24T08:29:47.127Z	744.6	OPEN LONG	none	muted
2026-05-24T08:29:47.127Z	744.7	OPEN SHORT	none	muted
2026-05-24T08:29:47.128Z	744.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:29:47.128Z	744.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:29:47.129Z	744.TP2	OSC 1/6	P1a=0.9760 — waiting for P1b	muted
2026-05-24T08:29:47.129Z	744.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9760	muted
2026-05-24T08:29:47.130Z	744.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:29:47.132Z	744.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:30:07.137Z	745.1	POLL START	fetching 4 candles	muted
2026-05-24T08:30:08.166Z	745.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:30:08.168Z	745.3	LAST CLOSE	0.9760	info
2026-05-24T08:30:08.169Z	745.4	TICK SIZE	0.001000	info
2026-05-24T08:30:08.169Z	745.5	inOsc / dir	false / LONG	muted
2026-05-24T08:30:08.170Z	745.6	OPEN LONG	none	muted
2026-05-24T08:30:08.171Z	745.7	OPEN SHORT	none	muted
2026-05-24T08:30:08.171Z	745.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:30:08.172Z	745.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:30:08.172Z	745.TP2	OSC 1/6	P1a=0.9760 (re-anchor) — waiting for P1b	muted
2026-05-24T08:30:08.173Z	745.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9760	muted
2026-05-24T08:30:08.173Z	745.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:30:08.176Z	745.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:30:28.180Z	746.1	POLL START	fetching 4 candles	muted
2026-05-24T08:30:28.752Z	746.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:30:28.754Z	746.3	LAST CLOSE	0.9770	info
2026-05-24T08:30:28.755Z	746.4	TICK SIZE	0.001000	info
2026-05-24T08:30:28.755Z	746.5	inOsc / dir	false / LONG	muted
2026-05-24T08:30:28.756Z	746.6	OPEN LONG	none	muted
2026-05-24T08:30:28.756Z	746.7	OPEN SHORT	none	muted
2026-05-24T08:30:28.757Z	746.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:30:28.757Z	746.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:30:28.758Z	746.TP2	OSC 2/6	P1a=0.9760 P1b=0.9770 counter=1 — need c3=P1a	warn
2026-05-24T08:30:28.758Z	746.9	OSC COUNTER	1/3 · step=3/6 P1a=0.9760 P1b=0.9770	muted
2026-05-24T08:30:28.759Z	746.10	WAITING FOR BAND	A-B-A-B-A-B · step 3/6 · counter=1/3	muted
2026-05-24T08:30:28.761Z	746.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:30:48.765Z	747.1	POLL START	fetching 4 candles	muted
2026-05-24T08:30:49.254Z	747.2	CANDLES	30 in window · fetched 4	ok
